order_country_id,order_country_name
1,Afganistán
2,Albania
3,Alemania
4,Angola
5,Arabia Saudí
6,Argelia
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaiyán
12,Bangladés
13,Barbados
14,Baréin
15,Belice
16,Benín
17,Bielorrusia
18,Bolivia
19,Bosnia y Herzegovina
20,Botsuana
21,Brasil
22,Bulgaria
23,Burkina Faso
24,Burundi
25,Bután
26,Bélgica
27,Camboya
28,Camerún
29,Canada
30,Chad
31,Chile
32,China
33,Chipre
34,Colombia
35,Corea del Sur
36,Costa Rica
37,Costa de Marfil
38,Croacia
39,Cuba
40,Dinamarca
41,Ecuador
42,Egipto
43,El Salvador
44,Emiratos Árabes Unidos
45,Eritrea
46,Eslovaquia
47,Eslovenia
48,España
49,Estados Unidos
50,Estonia
51,Etiopía
52,Filipinas
53,Finlandia
54,Francia
55,Gabón
56,Georgia
57,Ghana
58,Grecia
59,Guadalupe
60,Guatemala
61,Guayana Francesa
62,Guinea
63,Guinea Ecuatorial
64,Guinea-Bissau
65,Guyana
66,Haití
67,Honduras
68,Hong Kong
69,Hungría
70,India
71,Indonesia
72,Irak
73,Irlanda
74,Irán
75,Israel
76,Italia
77,Jamaica
78,Japón
79,Jordania
80,Kazajistán
81,Kenia
82,Kirguistán
83,Kuwait
84,Laos
85,Lesoto
86,Liberia
87,Libia
88,Lituania
89,Luxemburgo
90,Líbano
91,Macedonia
92,Madagascar
93,Malasia
94,Mali
95,Marruecos
96,Martinica
97,Mauritania
98,Moldavia
99,Mongolia
100,Montenegro
101,Mozambique
102,Myanmar (Birmania)
103,México
104,Namibia
105,Nepal
106,Nicaragua
107,Nigeria
108,Noruega
109,Nueva Zelanda
110,Níger
111,Omán
112,Pakistán
113,Panamá
114,Papúa Nueva Guinea
115,Paraguay
116,Países Bajos
117,Perú
118,Polonia
119,Portugal
120,Qatar
121,Reino Unido
122,República Centroafricana
123,República Checa
124,República Democrática del Congo
125,República Dominicana
126,República de Gambia
127,República del Congo
128,Ruanda
129,Rumania
130,Rusia
131,Senegal
132,Serbia
133,Sierra Leona
134,Singapur
135,Siria
136,Somalia
137,Sri Lanka
138,Suazilandia
139,SudAfrica
140,Sudán
141,Sudán del Sur
142,Suecia
143,Suiza
144,Surinam
145,Sáhara Occidental
146,Tailandia
147,Taiwán
148,Tanzania
149,Tayikistán
150,Togo
151,Trinidad y Tobago
152,Turkmenistán
153,Turquía
154,Túnez
155,Ucrania
156,Uganda
157,Uruguay
158,Uzbekistán
159,Venezuela
160,Vietnam
161,Yemen
162,Yibuti
163,Zambia
164,Zimbabue
