order_id,customer_id,destination_id,shipping_mode_id,order_status_id,delivery_status_id,order_type_id,order_date,shipping_date,days_for_shipping_real,days_for_shipment_scheduled
1,11599,185,4,2,1,1,1/1/2015 0:00,1/3/2015 0:00,2,4
2,256,1740,4,7,1,3,1/1/2015 0:21,1/4/2015 0:21,3,4
4,8827,1740,4,2,2,1,1/1/2015 1:03,1/6/2015 1:03,5,4
5,11318,1740,4,3,2,2,1/1/2015 1:24,1/7/2015 1:24,6,4
7,4530,1676,3,3,2,2,1/1/2015 2:06,1/4/2015 2:06,3,2
8,2911,1676,4,8,4,4,1/1/2015 2:27,1/5/2015 2:27,4,4
9,5657,1676,4,7,2,3,1/1/2015 2:48,1/6/2015 2:48,5,4
10,5648,1676,4,7,2,3,1/1/2015 3:09,1/7/2015 3:09,6,4
11,918,1676,4,5,1,3,1/1/2015 3:30,1/3/2015 3:30,2,4
12,1837,285,4,2,1,1,1/1/2015 3:51,1/4/2015 3:51,3,4
13,9149,285,4,7,4,3,1/1/2015 4:12,1/5/2015 4:12,4,4
14,9842,285,4,8,2,4,1/1/2015 4:33,1/6/2015 4:33,5,4
15,2568,1473,4,3,2,2,1/1/2015 4:54,1/7/2015 4:54,6,4
16,7276,1473,4,7,1,3,1/1/2015 5:15,1/3/2015 5:15,2,4
17,2667,294,4,3,1,2,1/1/2015 5:36,1/4/2015 5:36,3,4
18,1205,294,4,2,4,1,1/1/2015 5:57,1/5/2015 5:57,4,4
19,9488,294,4,7,2,3,1/1/2015 6:18,1/6/2015 6:18,5,4
20,9198,294,4,8,2,4,1/1/2015 6:39,1/7/2015 6:39,6,4
21,2711,167,1,6,2,4,1/1/2015 7:00,1/3/2015 7:00,2,1
23,4367,1700,3,7,2,3,1/1/2015 7:42,1/5/2015 7:42,4,2
24,11441,293,3,2,2,1,1/1/2015 8:03,1/6/2015 8:03,5,2
25,9503,256,3,2,2,1,1/1/2015 8:24,1/7/2015 8:24,6,2
27,3241,183,3,7,2,3,1/1/2015 9:06,1/4/2015 9:06,3,2
28,656,158,4,3,4,2,1/1/2015 9:27,1/5/2015 9:27,4,4
